uri	name	type	synonyms	definition	resource	wikipedia
http://purl.obolibrary.org/obo/ENVO_00000077	agricultural ecosystem	yes/no	agricultural environment, agrarian, farmed land, horticultural, agroecosystem	An ecosystem managed with a purpose, usually to produce crops or animal products.	The Environment Ontology	https://en.wikipedia.org/wiki/Agroecosystem
http://purl.obolibrary.org/obo/ENVO_00000519	agricultural terrace	yes/no	terraced field, terrace farmland	A piece of sloped plane that has been cut into a series of successively receding flat surfaces or platforms, which resemble steps, for the purposes of more effective farming.	The Environment Ontology	https://en.wikipedia.org/wiki/Terrace_(earthworks)
http://purl.obolibrary.org/obo/ENVO_01001835	alpine biome	yes/no	alpine region, alpine zone, alpine environment, alpine ecosystem	A biome which is subject to alpine altitudinal conditions.	The Environment Ontology	https://en.wiktionary.org/wiki/alpine
http://purl.obolibrary.org/obo/ENVO_01000954	alpine tree line ecotone	yes/no	alpine tree line	A tree line ecotone across which trees cease to grow due to the low temperatures or duration of snow cover that occur at increased elevations above mean sea level.	The Environment Ontology	https://en.wikipedia.org/wiki/Tree_line
http://purl.obolibrary.org/obo/ENVO_01001505	alpine tundra biome	yes/no	alpine tundra	A tundra biome which exists at high altitudes and where vegetation - dominated by a few species of dwarf shrubs, a few grasses, sedges, lichens, and mosses - is stunted due to low temperatures and high winds.	The Environment Ontology	https://en.wikipedia.org/wiki/Alpine_tundra
http://purl.obolibrary.org/obo/ENVO_01001371	alpine tundra ecosystem	yes/no	alpine tundra	A tundra ecosystem which exists at high altitudes and where vegetation is stunted due to low temperatures and high winds.	The Environment Ontology	https://en.wikipedia.org/wiki/Alpine_tundra
http://purl.obolibrary.org/obo/ENVO_01000219	anthropogenic terrestrial biome	yes/no	anthropogenic biome, anthromes, human biomes, intensive land-use biome	An anthropogenic terrestrial biome is a terrestrial biome which has community structures determined by human activity.	The Environment Ontology	https://en.wikipedia.org/wiki/Anthropogenic_biome
http://purl.obolibrary.org/obo/ENVO_01000576	apiary	yes/no	bee yard, beehives	An apiary is a place where beehives of honey bees are kept and maintained by beekeepers.	The Environment Ontology	https://en.wikipedia.org/wiki/Apiary
http://purl.obolibrary.org/obo/ENVO_00002030	aquatic biome	yes/no	lives in water, lives on water	A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water.	The Environment Ontology	https://en.wikipedia.org/wiki/Aquatic_ecosystem
http://purl.obolibrary.org/obo/ENVO_01001787	aquatic ecosystem	yes/no	lives in water, lives on water	An ecosystem in a body of water.	The Environment Ontology	https://en.wikipedia.org/wiki/Aquatic_ecosystem
